ticker,name_kr,name_en,gics_sector,gics_industry_group,gics_industry,krx_업종,cap_tier,mktcap_usd_b,mirae_tiger_themes,n_themes
005930.KS,Samsung Elec,"Samsung Electronics Co., Ltd.",Information Technology,Technology Hardware & Equipment,Consumer Electronics,전기·전자,MEGA,1252.64,TIGER 200 | TIGER 코리아TOP10 | TIGER Fn반도체TOP10,3
005935.KS,Samsung Elec Pref,"Samsung Electronics Co., Ltd.",Information Technology,Technology Hardware & Equipment,Consumer Electronics,전기·전자,MEGA,852.05,TIGER 200 | TIGER Fn반도체TOP10,2
000660.KS,SK Hynix,SK hynix Inc.,Information Technology,Semiconductors & Semiconductor Equipment,Semiconductors,전기·전자,MEGA,836.05,TIGER 200 | TIGER 코리아TOP10 | TIGER Fn반도체TOP10,3
005380.KS,현대자동차,Hyundai Motor Company,Consumer Discretionary,Automobiles & Components,Auto Manufacturers,운수장비,LARGE,120.29,TIGER 200 | TIGER 코리아TOP10 | TIGER 미래모빌리티액티브,3
402340.KS,SK스퀘어,"SK Square Co., Ltd.",Information Technology,Semiconductors & Semiconductor Equipment,Semiconductors,전기·전자,LARGE,102.77,TIGER 200,1
373220.KS,LG에너지솔루션,"LG Energy Solution, Ltd.",Industrials,Capital Goods,Electrical Equipment & Parts,전기·전자,LARGE,81.39,TIGER 200 | TIGER 2차전지테마 | TIGER 한국친환경에너지 | TIGER 미래모빌리티액티브,4
034020.KS,두산에너빌리티,"Doosan Enerbility Co., Ltd.",Industrials,Capital Goods,Specialty Industrial Machinery,기계,LARGE,59.61,TIGER 200 | TIGER 한국친환경에너지 | TIGER 중공업/방산,3
207940.KS,Samsung Biologics,"Samsung Biologics Co.,Ltd.",Health Care,"Pharmaceuticals, Biotechnology & Life Sciences",Biotechnology,의약품,LARGE,49.58,TIGER 200 | TIGER 코리아TOP10 | TIGER Fn바이오TOP10,3
009150.KS,삼성전기,"Samsung Electro-Mechanics Co., Ltd.",Information Technology,Technology Hardware & Equipment,Electronic Components,전기·전자,LARGE,49.43,TIGER 200 | TIGER Fn반도체TOP10,2
012450.KS,한화에어로스페이스,"Hanwha Aerospace Co., Ltd.",Industrials,Capital Goods,Aerospace & Defense,운수장비,LARGE,48.06,TIGER 200 | TIGER 미래모빌리티액티브 | TIGER 중공업/방산,3
028260.KS,삼성물산,Samsung C&T Corporation,Industrials,Capital Goods,Engineering & Construction,건설업,LARGE,47.9,TIGER 200,1
000270.KS,기아,Kia Corporation,Consumer Discretionary,Automobiles & Components,Auto Manufacturers,운수장비,LARGE,46.98,TIGER 200 | TIGER 미래모빌리티액티브,2
105560.KS,KB금융,KB Financial Group Inc.,Financials,Banks,Banks - Regional,은행,LARGE,41.69,TIGER 200 | TIGER Fn은행,2
006400.KS,Samsung SDI,"Samsung SDI Co., Ltd.",Industrials,Capital Goods,Electrical Equipment & Parts,전기·전자,LARGE,38.55,TIGER 200 | TIGER 코리아TOP10 | TIGER 2차전지테마 | TIGER 한국친환경에너지 | TIGER 미래모빌리티액티브,5
032830.KS,삼성생명,"Samsung Life Insurance Co., Ltd.",Financials,Insurance,Insurance - Life,보험,LARGE,37.93,TIGER 200,1
